,inicio_termo,tamanho_termo,termo
330,si,10,sindicatos
331,ad,7,adições
332,re,8,rentável
333,pe,7,persona
334,ti,8,tirá-las
335,re,9,regressão
336,sl,3,sla
337,mo,9,motivação
338,bu,5,build
339,av,8,aventura
340,sp,4,spin
341,re,7,reversa
342,mi,11,minimizando
343,ut,8,utilizar
344,ve,5,veloz
345,on,10,onboarding
346,sa,6,sarima
347,au,10,aumentarão
348,le,11,legislativo
349,we,8,webinars
350,ca,7,capital
351,po,15,potencializando
352,re,8,reuniões
353,ve,7,verdade
354,lí,5,líder
355,de,16,desterceirização
356,ad,9,adaptando
357,fu,10,funcionais
358,mo,8,montante
359,re,13,refurbishment
360,re,7,revelar
361,al,8,alíquota
362,ob,16,obrigatoriedades
363,ac,9,aceitá-lo
364,en,7,entrada
365,po,8,poderosa
366,to,10,totalmente
367,cl,13,classificados
368,at,9,atributos
369,de,9,declarada
370,ve,10,velocidade
371,at,5,atual
372,ac,16,acondicionamento
373,tu,8,turnover
374,me,5,menos
375,co,4,coso
376,po,9,positivos
377,ha,6,hacker
378,pi,4,pick
379,ma,9,mapreduce
380,do,7,docking
381,ap,10,aplicá-los
382,pr,9,projetado
383,ex,10,explicados
384,co,11,consultivas
385,fu,11,fundamentos
386,mú,9,múltiplos
387,di,12,distribuição
388,te,10,termômetro
389,su,14,supervisionada
390,si,7,sistema
391,ge,7,geração
392,di,6,direta
393,in,10,inovadores
394,vi,8,violação
395,cr,7,criação
396,cr,5,criar
397,re,12,reconhecendo
398,at,10,atribuição
399,mo,11,monetizando
400,só,6,sólida
401,de,10,determinar
402,so,8,sourcing
403,co,10,corretoras
404,bi,11,bibliotecas
405,sa,7,salário
406,pr,10,preparação
407,co,10,constantes
408,al,6,alunos
409,as,8,assegure
410,al,8,alocação
411,co,11,comunicação
412,vt,2,vt
413,bo,5,bolsa
414,ba,7,baseada
415,cu,8,customer
416,bo,4,bons
417,di,12,diferenciada
418,to,5,touch
419,ét,6,éticas
420,ju,5,junto
421,pr,6,propõe
422,lí,6,língua
423,pr,11,preventivos
424,li,10,liquidação
425,co,9,correções
426,de,8,derivada
427,pú,12,público-alvo
428,co,6,cofins
429,qu,10,quadrantes
430,ar,5,arima
431,co,10,considerar
432,su,15,supervisionadas
433,ex,8,explicam
434,po,8,positivo
435,es,7,estudos
436,de,6,debate
437,es,7,escalar
438,re,12,recomendação
439,us,7,usufrui
440,pe,10,percepções
441,se,4,self
442,in,8,internas
443,mu,14,multinacionais
444,mv,3,mvv
445,de,10,detectando
446,fi,11,finalização
447,ap,9,aprovadas
448,es,11,estatística
449,al,6,aliada
450,di,11,disponíveis
451,ac,11,acreditação
452,co,13,conformidades
453,ap,5,apoio
454,im,13,imitabilidade
455,ac,7,account
456,ma,10,maturidade
457,am,7,ampliar
458,se,7,selling
459,re,6,reagir
460,tr,6,treine
461,es,8,estágios
462,qu,12,qualitativos
463,de,7,deliver
464,ma,14,macroambientes
465,mu,10,municipais
466,in,15,investidor-anjo
467,fo,6,fontes
468,2×,3,2×2
469,de,8,desejada
470,si,4,size
471,er,4,erre
472,ca,6,captar
473,pe,11,performance
474,fu,11,fundamentar
475,co,12,contingência
476,pr,10,prototipar
477,pi,3,pib
478,ef,8,eficácia
479,ca,7,cadeias
480,tu,4,tudo
481,ta,6,tarefa
482,ge,5,geral
483,ex,10,explicação
484,re,11,revolucione
485,al,7,alterar
486,im,8,importar
487,mo,6,mobile
488,po,12,posicionando
489,có,6,código
490,en,10,entrevista
491,sp,5,spend
492,ta,8,talentos
493,of,8,oferecem
494,in,9,instapage
495,pr,8,projeção
496,co,13,comportamento
497,mo,9,movimento
498,em,10,emocionais
499,in,15,inconsistências
500,se,5,seeds
501,to,4,toda
502,pp,4,ppcp
503,pr,10,processing
504,in,6,insumo
505,ei,6,eights
506,va,7,valores
507,ap,6,aplica
508,di,10,disposição
509,at,9,atraentes
510,ne,11,negociações
511,gr,5,grave
512,ca,4,call
513,fa,7,fatores
514,pr,9,presumido
515,ge,7,gerador
516,ps,16,psicologicamente
517,le,8,lealdade
518,re,17,responsabilidades
519,di,12,diagnósticas
520,cu,5,curva
521,po,8,poderoso
522,pa,13,participativa
523,re,12,recrutamento
524,se,7,serviço
525,in,9,indicador
526,pe,14,periculosidade
527,ro,6,rotina
528,al,9,alavancar
529,bi,7,bilhões
530,tr,14,transformações
531,su,16,sustentabilidade
532,co,9,contratos
533,as,9,assertiva
534,pe,14,personalização
535,e-,6,e-mail
536,po,8,possible
537,co,9,conseguir
538,ca,8,calcular
539,de,9,delegação
540,al,10,algoritmos
541,tr,11,transmissão
542,ca,5,calls
543,im,9,imunidade
544,in,5,input
545,fu,7,futuras
546,tr,6,trello
547,ut,10,utilização
548,co,8,contábil
549,re,7,remoção
550,br,8,briefing
551,2.,5,2.279
552,ca,12,cancelamento
553,ca,13,categorização
554,pe,14,personificando
555,fu,6,fundos
556,co,9,concessão
557,ap,9,aposentar
558,tr,9,tributado
559,ar,2,ar
560,as,6,assume
561,ge,13,gerenciamento
562,fi,10,finalmente
563,at,9,atividade
564,te,6,termos
565,ex,10,exportação
566,qu,4,quão
567,ex,7,externa
568,ac,9,acreditar
569,ca,5,caixa
570,li,8,liquidez
571,ad,14,administrativa
572,un,4,unit
573,in,11,ineficiente
574,of,9,oferecido
575,pr,9,processos
576,in,14,interpretações
577,su,8,supplier
578,su,18,subconscientemente
579,es,7,escolas
580,de,8,descubra
581,ti,4,tipo
582,fa,7,favores
583,co,6,comitê
584,pr,7,private
585,ho,6,horas…
586,ii,2,ii
587,ta,6,tabule
588,el,8,elaborar
589,ba,4,back
590,co,11,consciência
591,mú,5,mútuo
592,pl,7,players
593,co,11,convertendo
594,va,13,variabilidade
595,se,5,setor
596,ar,8,arrojado
597,ne,11,necessários
598,be,4,bens
599,li,10,liderá-los
600,sa,12,sazonalidade
601,fe,8,federais
602,sl,4,slas
603,es,6,escala
604,en,8,enxergar
605,av,9,avaliando
606,ex,10,explicalas
607,ce,6,certas
608,se,12,segmentá-los
609,en,11,encontradas
610,de,8,deixados
611,de,12,desperdícios
612,re,12,revolucionou
613,co,13,completamente
614,ca,11,causas-raiz
615,ke,3,key
616,si,8,sinergia
617,vi,11,visualmente
618,su,10,surpreende
619,fo,12,fornecedores
620,pa,10,pagamentos
621,fi,11,financeiras
622,se,10,selecionar
623,re,6,regras
624,ac,10,acompanhar
625,me,8,mercados
626,vc,2,vc
627,po,8,político
628,vs,2,vs
629,ec,8,economia
630,de,10,debêntures
631,ot,8,otimizar
632,am,7,ameaças
633,al,10,alcançados
634,in,18,indicadores-chaves
635,lí,7,líquido
636,ca,4,caos
637,ex,8,exterior
638,im,10,importante
639,tr,8,tributos
640,op,2,op
641,sa,4,sair
642,dr,6,driver
643,da,5,dados
644,co,7,corners
645,me,8,melhoras
646,va,8,variados
647,ap,11,aproximadas
648,tr,12,transmitidas
649,te,9,tendência
650,in,12,insuficiente
651,co,9,conquista
652,se,9,selecione
653,ap,7,aplique
654,me,4,meta
655,me,10,metamodelo
656,ap,9,aprimorar
657,pe,15,perguntas-chave
658,co,6,coleta
659,id,13,identificados
660,pl,8,planejar
661,at,6,atraem
662,co,9,consultor
663,em,11,empresarial
664,ob,8,objetiva
665,ar,11,arrecadação
666,ti,3,tir
667,to,10,totalidade
668,re,9,resolução
669,va,9,vantajosa
670,bi,3,big
671,20,2,20
672,ba,13,balanceamento
673,in,7,inbound
674,at,7,atuação
675,at,6,atrair
676,ob,9,objetivos
677,co,8,contínua
678,jo,6,johari
679,po,5,poder
680,ca,11,capacidades
681,un,6,unidos
682,in,16,industrializados
683,pr,8,produzir
684,re,8,resposta
685,qu,13,quantitativos
686,cl,8,clássica
687,re,14,reciprocidades
688,la,4,lado
689,er,4,erec
690,ah,3,ahp
691,pr,7,product
692,so,7,sociais
693,en,9,encomenda
694,vi,7,virtual
695,di,9,distância
696,ev,9,eventuais
697,at,4,atue
698,ta,3,tal
699,ba,4,base
700,in,12,inteligência
701,ci,10,circulação
702,in,10,individual
703,in,10,incertezas
704,ad,9,adequados
705,mu,8,mundiais
706,al,7,alinhar
707,ca,10,calculando
708,re,9,resultado
709,et,4,etc…
710,ca,9,carteiras
711,fo,7,formais
712,re,8,retenção
713,tr,5,trata
714,fu,7,fugindo
715,op,10,operations
716,pr,3,pra
717,dp,4,dpge
718,ge,8,gestores
719,pe,8,perdidas
720,sl,6,slogan
721,na,7,natural
722,an,9,analytics
723,co,8,consigam
724,de,10,descritivo
725,im,9,impressão
726,ré,5,régua
727,au,10,autoridade
728,et,4,etom
729,ad,11,administrar
730,de,12,desenvolverá
731,id,13,identificaria
732,fa,5,falta
733,de,6,dentro
734,qu,5,quais
735,se,7,semrush
736,6.,2,6.
737,pe,13,periodicidade
738,ou,6,outras
739,al,6,alocar
740,tr,12,transformada
741,ar,10,artimanhas
742,mé,8,métricas
743,ap,7,aplicar
744,to,8,top-down
745,is,3,iso
746,se,7,segredo
747,in,10,interferir
748,ob,7,obtidas
749,mu,11,multicanais
750,re,9,reconheça
751,mi,14,microambientes
752,ma,9,marketing
753,ab,6,abaixo
754,in,9,interagir
755,pr,6,prazos
756,fi,4,fixo
757,te,4,team
758,ru,4,rumo
759,fa,9,favorável
760,wa,6,watson
761,fo,11,foundations
762,pa,6,pandas
763,ne,4,nets
764,ir,9,irregular
765,cd,3,cdb
766,cr,11,crescimento
767,fa,5,fatos
768,cr,9,criadores
769,em,14,empreendedores
770,te,8,testando
771,mi,6,missão
772,in,8,investir
773,it,8,iteração
774,do,4,dono
775,pr,7,prestes
776,bl,6,blocos
777,es,9,estressar
778,ea,6,earned
779,pr,8,practice
780,ts,2,ts
781,au,8,auxiliem
782,gr,6,growth
783,co,11,conselheiro
784,va,9,validadas
785,co,8,conduzir
786,in,9,incerteza
787,er,6,errado
788,co,7,confiar
789,di,9,dia-a-dia
790,mo,10,modalidade
791,di,12,diferenciado
792,va,7,validar
793,au,12,automatizado
794,re,8,recursos
795,av,6,avalia
796,ma,7,maquete
797,me,4,medo
798,re,12,recebimentos
799,ci,4,cide
800,in,2,in
801,de,8,detectar
802,ag,5,agile
803,ún,5,única
804,co,10,combinação
805,al,10,alcançável
806,ou,6,output
807,co,11,concorridas
808,ap,12,aprendizagem
809,hi,9,histórica
810,gi,7,gigante
811,at,7,atingem
812,of,2,of
813,at,9,atingidos
814,li,11,linearidade
815,ma,7,mapeada
816,re,7,revenue
817,se,10,sequências
818,de,5,death
819,re,7,recente
820,in,9,iniciá-lo
821,to,5,toque
822,po,12,porcentagens
823,so,4,sono
824,ba,5,baixa
825,et,3,eto
826,in,12,investidores
827,es,11,estruturais
828,ge,15,georecrutamento
829,ex,6,expert
830,hi,3,hit
831,di,13,diferenciá-la
832,ma,7,manager
833,in,10,iniciativa
834,at,7,atração
835,de,4,deep
836,ba,9,barreiras
837,ef,7,efetiva
838,de,15,descentralizado
839,co,7,conosco
840,tr,13,transcorrendo
841,ne,12,negociadores
842,au,9,auditoria
843,re,9,reparação
844,sa,8,saudável
845,in,13,interessantes
846,ga,7,gargalo
847,co,10,conhecê-lo
848,va,11,valorizados
849,en,8,envolver
850,de,15,desenvolvimento
851,pv,3,pva
852,el,7,elabore
853,re,10,resultados
854,ca,5,causa
855,cr,7,crítica
856,co,9,controlar
857,nl,3,nlp
858,cá,7,cálculo
859,di,9,diagramas
860,re,5,reinf
861,ca,8,cardápio
862,di,8,divisões
863,se,4,sete
864,no,7,nominal
865,cr,7,crédito
866,pa,7,partner
867,se,5,setup
868,pr,8,práticos
869,de,8,despesas
870,de,9,decisores
871,bo,6,bottom
872,es,13,escalonamento
873,le,5,leais
874,es,13,especializada
875,gu,7,guildas
876,va,8,validada
877,po,4,pool
878,ra,12,radicalmente
879,fa,5,fazer
880,ge,6,gestão
881,in,11,instituindo
882,am,8,ambiente
883,at,8,atitudes
884,lo,9,logístico
885,de,9,demissões
886,pr,10,princípios
887,pl,8,plannnig
888,ap,13,apresentações
889,pr,5,prazo
890,pc,4,pcex
891,pe,8,percurso
892,es,9,estrutura
893,pa,12,parcelamento
894,di,13,dimensionando
895,de,10,definitivo
896,co,9,contribui
897,of,11,offboarding
898,na,7,navegar
899,fo,9,follow-up
900,co,8,condução
901,im,10,importação
902,ev,6,evento
903,hu,5,humor
904,ba,8,baseadas
905,si,3,sim
906,in,10,influencia
907,ca,10,candidatos
908,be,3,bem
909,re,7,recisão
910,pr,8,pretende
911,xy,3,xyz
912,pr,10,primordial
913,cr,6,credor
914,me,5,merge
915,co,8,coincide
916,vc,3,vcs
917,de,6,demais
918,sa,6,salvar
919,ci,6,ciclos
920,pl,5,plano
921,la,7,landing
922,tr,13,transformando
923,cr,7,crítico
924,re,10,retrabalho
925,ex,12,exploratória
926,ca,8,cadência
927,po,8,post-its
928,al,9,alíquotas
929,po,12,possibilitem
930,fg,3,fgc
931,ke,7,keynote
932,de,16,desenvolvimentos
933,ac,12,acompanhando
934,mé,7,métodos
935,ou,5,outra
936,pú,8,públicos
937,ór,5,órgão
938,al,12,alternativas
939,cr,10,cruzamento
940,du,10,duradouras
941,re,9,revolução
942,at,10,atribuindo
943,fl,13,flexibilidade
944,mo,11,modalização
945,me,12,metodologias
946,im,10,impulsiona
947,ág,4,ágil
948,pr,7,process
949,ar,13,armazenamento
950,pr,10,principios
951,al,8,alinhada
952,ex,8,expansão
953,cu,6,custos
954,co,11,consistente
955,co,8,controle
956,fu,12,fundamentais
957,co,9,contrário
958,cr,8,criticas
959,nã,12,não-violenta
960,pr,11,priorizá-lo
961,bu,8,business
962,sa,10,saneamento
963,so,10,solucionar
964,ta,6,target
965,ma,5,maior
966,ka,6,kaizen
967,do,3,dom
968,mé,6,método
969,nú,7,números
970,re,8,rescisão
971,si,3,six
972,ol,10,oligopólio
973,pi,7,pilares
974,su,8,sucessão
975,cr,14,credenciamento
976,in,12,introduzindo
977,tr,7,tráfego
978,pr,11,prospecções
979,ca,8,capitais
980,re,11,recuperação
981,ef,8,efetuada
982,in,12,investigá-lo
983,pr,9,principal
984,fe,8,feedback
985,me,5,mesma
986,sa,5,saldo
987,le,3,lei
988,ut,10,utilizadas
989,es,6,espaço
990,gu,6,guiado
991,su,10,superiores
992,ai,5,ainda
993,ma,7,mark-up
994,ga,6,ganhos
995,de,5,desde
996,ex,8,externas
997,de,13,desenvolvidos
998,co,15,competitividade
999,co,24,construir-medir-aprender
1000,cu,5,custa
1001,re,13,remanejamento
1002,bm,2,bm
1003,re,11,redefinirão
1004,ir,14,irregularidade
1005,tr,13,transparência
1006,fa,5,fases
1007,co,10,cooperação
1008,ac,8,accepted
1009,ac,9,acompanha
1010,co,10,conhecidas
1011,te,8,testagem
1012,ou,6,outros
1013,co,10,convertkit
1014,co,7,conduta
1015,bu,6,budget
1016,pa,16,particularidades
1017,ra,6,racios
1018,co,10,comerciais
1019,or,9,organizam
1020,ne,7,neurais
1021,sc,9,scorecard
1022,im,8,imediato
1023,co,8,construa
1024,po,7,powerbi
1025,pe,8,percorre
1026,ca,11,capacitação
1027,de,7,desejos
1028,it,4,itil
1029,ch,7,chicote
1030,co,7,control
1031,ca,6,cadeia
1032,st,11,storyboards
1033,de,6,destas
1034,in,8,inovador
1035,de,8,denúncia
1036,ne,8,negativo
1037,ac,13,aculturamento
1038,en,11,engajamento
1039,va,10,validation
1040,es,12,especialista
1041,re,10,recomendar
1042,cv,3,cvb
1043,us,4,user
1044,pl,7,planeja
1045,cl,3,clv
1046,id,13,identificando
1047,5w,4,5w2h
1048,to,5,total
1049,aj,8,ajudá-lo
1050,ur,8,urgência
1051,fé,6,férias
1052,ha,10,harmonioso
1053,pr,8,próximos
1054,ba,7,backlog
1055,ma,8,mapeados
1056,ir,2,ir
1057,de,14,demonstrativos
1058,at,6,atuais
1059,fi,5,firme
1060,el,10,elicitação
1061,al,11,alinhamento
1062,ex,10,executivos
1063,mo,5,model
1064,ge,9,genéticos
1065,sh,5,shift
1066,co,8,conceito
1067,pe,6,perdão
1068,ex,8,expandir
1069,ir,4,ircs
1070,so,5,sobre
1071,de,9,demonstra
1072,se,11,sensibidade
1073,co,12,contratações
1074,pr,7,projeto
1075,mi,9,minimizar
1076,cl,5,clara
1077,te,10,tesouraria
1078,pr,11,provocações
1079,st,10,storyboard
1080,ev,12,evidenciação
1081,av,7,avançar
1082,de,7,desenho
1083,or,10,orientadas
1084,tr,8,transfer
1085,ob,13,obsolescência
1086,ch,9,checklist
1087,sé,6,séries
1088,as,7,aspecto
1089,fl,9,flexíveis
1090,re,12,recentemente
1091,in,12,infusionsoft
1092,ct,3,cta
1093,tr,10,tributária
1094,co,11,commodities
1095,co,4,cole
1096,di,12,diferenciais
1097,ne,5,nesse
1098,jo,7,jornada
1099,me,9,metáforas
1100,pe,11,pensamentos
1101,se,8,sendgrid
1102,co,8,corrente
1103,me,10,melhorando
1104,pr,8,prospect
1105,al,5,algum
1106,di,9,dinâmicos
1107,al,8,alinhado
1108,en,8,entradas
1109,ef,6,efeito
1110,al,9,alteração
1111,re,13,requerimentos
1112,co,9,concepção
1113,pi,10,pis-cofins
1114,id,14,identificá-las
1115,he,11,heurísticos
1116,su,10,sucessores
1117,in,12,interessadas
1118,co,8,conflito
1119,te,10,tecnologia
1120,de,9,desligado
1121,cr,6,crises
1122,le,4,lean
1123,pm,3,pmi
1124,mi,7,mitigar
1125,má,7,máquina
1126,cl,9,cláusulas
1127,ga,6,gastos
1128,au,7,aumente
1129,al,6,alerta
1130,re,9,reentrega
1131,vi,4,vida
1132,po,9,potencial
1133,es,11,estruturado
1134,di,10,dimensione
1135,cu,10,cumulativo
1136,tr,8,trazidos
1137,se,6,sempre
1138,an,6,anuais
1139,co,9,confiança
1140,te,6,teoria
1141,et,6,etapas
1142,po,9,positivas
1143,cl,8,clientes
1144,es,7,estilos
1145,fu,14,funcionalidade
1146,op,4,opex
1147,co,8,complexa
1148,té,8,técnicas
1149,aç,5,ações
1150,de,13,desenvolvendo
1151,bl,5,blogs
1152,co,8,cobrança
1153,co,8,consenso
1154,re,7,retidos
1155,ec,20,econômico-financeira
1156,im,2,im
1157,re,7,receita
1158,fo,8,formação
1159,in,10,integrados
1160,re,11,resolve-los
1161,sq,3,sql
1162,co,9,controles
1163,es,7,estágio
1164,go,6,google
1165,ac,7,acelere
1166,af,6,afetar
1167,op,6,opções
1168,di,9,divertida
1169,vp,3,vpl
1170,ch,6,change
1171,ca,4,carf
1172,ca,8,causando
1173,em,7,empresa
1174,se,6,segura
1175,ca,7,causais
1176,ri,4,risk
1177,pr,9,progresso
1178,ha,10,habilidade
1179,ex,10,explicadas
1180,ca,6,cargos
1181,ma,7,machine
1182,ex,10,exploração
1183,ne,8,negócios
1184,fi,11,finalizando
1185,io,3,iot
1186,es,12,estruturação
1187,ut,7,utiliza
1188,de,8,detecção
1189,in,11,instrumento
1190,ag,9,agregador
1191,cp,3,cpa
1192,do,12,documentados
1193,pr,8,práticas
1194,ex,9,explicada
1195,di,9,divertido
1196,ql,9,qliksense
1197,ou,5,outro
1198,re,10,relutância
1199,id,11,identificou
1200,va,8,variável
1201,vi,5,vigor
1202,11,2,11
1203,in,10,incorretos
1204,vr,2,vr
1205,fe,9,federação
1206,de,12,desenvolvido
1207,an,9,anomalias
1208,tr,7,truques
1209,km,6,kmeans
1210,ap,11,aperfeiçoar
1211,fo,8,formando
1212,in,13,internacional
1213,co,12,conhecimento
1214,ap,13,aposentadoria
1215,de,15,definitivamente
1216,pe,10,persuasiva
1217,ho,4,hoje
1218,de,10,defini-las
1219,di,12,direcionando
1220,di,7,disputa
1221,nu,13,numericamente
1222,ca,12,capacitações
1223,su,11,surpreender
1224,fr,7,fraudes
1225,pu,4,push
1226,du,8,duopólio
1227,ab,11,abordaremos
1228,cl,7,cliente
1229,p.,4,p.o.
1230,re,10,resolvendo
1231,cl,13,classificação
1232,vu,16,vulnerabilidades
1233,ex,9,exclusões
1234,pr,7,problem
1235,li,6,lições
1236,be,9,beliscada
1237,in,9,interfere
1238,am,11,amortização
1239,ra,4,rara
1240,co,10,conquistar
1241,em,5,email
1242,fl,6,fluida
1243,ar,9,argumente
1244,di,13,diferenciadas
1245,li,9,liderança
1246,ce,12,certificação
1247,vi,9,visualize
1248,ro,7,robotic
1249,co,9,condições
1250,cu,7,custeio
1251,mt,3,mto
1252,au,8,auxiliam
1253,di,8,discurso
1254,cr,13,cross-selling
1255,de,10,designação
1256,em,8,empresas
1257,ba,5,baixo
1258,ab,13,abastecimento
1259,ét,5,ética
1260,ma,10,matplotlib
1261,so,7,solução
1262,co,5,comum
1263,im,7,impedem
1264,de,6,design
1265,pr,11,priorizando
1266,ca,8,carteira
1267,fa,8,falência
